s1,s2,Re(r_ex.11),Im(r_ex.11),Abs(r_ex.11),Arg(r_ex.11),Re(r_ex.21),Im(r_ex.21),Abs(r_ex.21),Arg(r_ex.21),Re(r_ex.12),Im(r_ex.12),Abs(r_ex.12),Arg(r_ex.12),Re(r_ex.22),Im(r_ex.22),Abs(r_ex.22),Arg(r_ex.22)
+6.10000000E-01,+0.00000000E+00,-6.77949825E-01,-5.77879476E-01,+8.90820214E-01,-2.43571115E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.30701324E-01,-7.49301302E-01,+8.64266204E-01,-2.09248323E+00
+6.20000000E-01,+0.00000000E+00,-6.81767805E-01,-5.74232880E-01,+8.91375757E-01,-2.44160314E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.23714428E-01,-7.52593264E-01,+8.63672703E-01,-2.08356999E+00
+6.30000000E-01,+0.00000000E+00,-6.85691929E-01,-5.70450936E-01,+8.91957226E-01,-2.44768035E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.16414274E-01,-7.55962977E-01,+8.63064812E-01,-2.07428384E+00
+6.40000000E-01,+0.00000000E+00,-6.89725329E-01,-5.66527226E-01,+8.92566035E-01,-2.45394985E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.08781938E-01,-7.59410561E-01,+8.62442504E-01,-2.06460351E+00
+6.50000000E-01,+0.00000000E+00,-6.93871306E-01,-5.62454851E-01,+8.93203699E-01,-2.46041922E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.00796839E-01,-7.62935865E-01,+8.61805802E-01,-2.05450583E+00
+6.60000000E-01,+0.00000000E+00,-6.98133350E-01,-5.58226391E-01,+8.93871847E-01,-2.46709657E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.92436557E-01,-7.66538406E-01,+8.61154793E-01,-2.04396563E+00
+6.70000000E-01,+0.00000000E+00,-7.02515153E-01,-5.53833850E-01,+8.94572230E-01,-2.47399056E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.83676617E-01,-7.70217296E-01,+8.60489646E-01,-2.03295543E+00
+6.80000000E-01,+0.00000000E+00,-7.07020624E-01,-5.49268592E-01,+8.95306735E-01,-2.48111052E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.74490253E-01,-7.73971160E-01,+8.59810622E-01,-2.02144517E+00
+6.90000000E-01,+0.00000000E+00,-7.11653910E-01,-5.44521274E-01,+8.96077400E-01,-2.48846648E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.64848123E-01,-7.77798022E-01,+8.59118103E-01,-2.00940196E+00
+7.00000000E-01,+0.00000000E+00,-7.16419417E-01,-5.39581769E-01,+8.96886429E-01,-2.49606925E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.54717996E-01,-7.81695181E-01,+8.58412612E-01,-1.99678963E+00
+7.10000000E-01,+0.00000000E+00,-7.21321836E-01,-5.34439070E-01,+8.97736214E-01,-2.50393054E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.44064379E-01,-7.85659056E-01,+8.57694846E-01,-1.98356839E+00
