s,n,Re(f_ex.tm),Im(f_ex.tm),Abs(f_ex.tm),Arg(f_ex.tm),Re(f_ex.te),Im(f_ex.te),Abs(f_ex.te),Arg(f_ex.te)
+2.20000000E-01,+1.00000000E+00,-5.82968592E-02,-1.28518566E-01,+1.41122449E-01,-1.99664538E+00,-6.64025886E-01,-2.64407954E-02,+6.64552099E-01,-3.10179476E+00
+2.30000000E-01,+1.00000000E+00,-6.02300776E-02,-1.27366305E-01,+1.40889453E-01,-2.01252057E+00,-6.62231280E-01,-2.62116512E-02,+6.62749816E-01,-3.10203249E+00
+2.40000000E-01,+1.00000000E+00,-6.22517403E-02,-1.26167062E-01,+1.40689043E-01,-2.02915582E+00,-6.60361284E-01,-2.59603673E-02,+6.60871369E-01,-3.10230052E+00
+2.50000000E-01,+1.00000000E+00,-6.43620249E-02,-1.24921314E-01,+1.40526884E-01,-2.04654608E+00,-6.58416530E-01,-2.56854770E-02,+6.58917347E-01,-3.10260144E+00
+2.60000000E-01,+1.00000000E+00,-6.65610850E-02,-1.23629539E-01,+1.40408835E-01,-2.06468335E+00,-6.56397687E-01,-2.53854714E-02,+6.56888381E-01,-3.10293800E+00
+2.70000000E-01,+1.00000000E+00,-6.88490467E-02,-1.22292215E-01,+1.40340932E-01,-2.08355640E+00,-6.54305462E-01,-2.50588011E-02,+6.54785141E-01,-3.10331304E+00
+2.80000000E-01,+1.00000000E+00,-7.12260051E-02,-1.20909815E-01,+1.40329353E-01,-2.10315049E+00,-6.52140600E-01,-2.47038795E-02,+6.52608339E-01,-3.10372954E+00
+2.90000000E-01,+1.00000000E+00,-7.36920198E-02,-1.19482805E-01,+1.40380392E-01,-2.12344711E+00,-6.49903885E-01,-2.43190849E-02,+6.50358730E-01,-3.10419059E+00
+3.00000000E-01,+1.00000000E+00,-7.62471116E-02,-1.18011640E-01,+1.40500425E-01,-2.14442376E+00,-6.47596137E-01,-2.39027632E-02,+6.48037112E-01,-3.10469942E+00
+3.10000000E-01,+1.00000000E+00,-7.88912580E-02,-1.16496761E-01,+1.40695863E-01,-2.16605378E+00,-6.45218215E-01,-2.34532308E-02,+6.45644329E-01,-3.10525935E+00
+3.20000000E-01,+1.00000000E+00,-8.16243893E-02,-1.14938587E-01,+1.40973117E-01,-2.18830629E+00,-6.42771015E-01,-2.29687771E-02,+6.43181267E-01,-3.10587386E+00
+3.30000000E-01,+1.00000000E+00,-8.44463847E-02,-1.13337517E-01,+1.41338546E-01,-2.21114611E+00,-6.40255470E-01,-2.24476675E-02,+6.40648862E-01,-3.10654652E+00
