s1,s2,Re(r_ibc3_reduced.tm),Im(r_ibc3_reduced.tm),Abs(r_ibc3_reduced.tm),Arg(r_ibc3_reduced.tm),Re(r_ibc3_reduced.te),Im(r_ibc3_reduced.te),Abs(r_ibc3_reduced.te),Arg(r_ibc3_reduced.te)
+5.50000000E-01,+0.00000000E+00,-8.30497150E-01,+5.57022876E-01,+1.00000000E+00,+2.55079593E+00,-8.54167743E-01,+5.19997564E-01,+1.00000000E+00,+2.59474455E+00
+5.55000000E-01,+0.00000000E+00,-8.32259305E-01,+5.54386552E-01,+1.00000000E+00,+2.55396696E+00,-8.56109977E-01,+5.16793679E-01,+1.00000000E+00,+2.59849118E+00
+5.60000000E-01,+0.00000000E+00,-8.34046780E-01,+5.51693727E-01,+1.00000000E+00,+2.55719904E+00,-8.58068631E-01,+5.13535028E-01,+1.00000000E+00,+2.60229317E+00
+5.65000000E-01,+0.00000000E+00,-8.35859834E-01,+5.48942927E-01,+1.00000000E+00,+2.56049359E+00,-8.60043605E-01,+5.10220538E-01,+1.00000000E+00,+2.60615146E+00
+5.70000000E-01,+0.00000000E+00,-8.37698729E-01,+5.46132621E-01,+1.00000000E+00,+2.56385207E+00,-8.62034797E-01,+5.06849099E-01,+1.00000000E+00,+2.61006700E+00
+5.75000000E-01,+0.00000000E+00,-8.39563724E-01,+5.43261220E-01,+1.00000000E+00,+2.56727598E+00,-8.64042095E-01,+5.03419565E-01,+1.00000000E+00,+2.61404078E+00
+5.80000000E-01,+0.00000000E+00,-8.41455080E-01,+5.40327076E-01,+1.00000000E+00,+2.57076689E+00,-8.66065382E-01,+4.99930750E-01,+1.00000000E+00,+2.61807384E+00
+5.85000000E-01,+0.00000000E+00,-8.43373054E-01,+5.37328477E-01,+1.00000000E+00,+2.57432642E+00,-8.68104533E-01,+4.96381425E-01,+1.00000000E+00,+2.62216723E+00
+5.90000000E-01,+0.00000000E+00,-8.45317902E-01,+5.34263646E-01,+1.00000000E+00,+2.57795624E+00,-8.70159416E-01,+4.92770322E-01,+1.00000000E+00,+2.62632207E+00
+5.95000000E-01,+0.00000000E+00,-8.47289880E-01,+5.31130736E-01,+1.00000000E+00,+2.58165811E+00,-8.72229891E-01,+4.89096123E-01,+1.00000000E+00,+2.63053948E+00
+6.00000000E-01,+0.00000000E+00,-8.49289238E-01,+5.27927827E-01,+1.00000000E+00,+2.58543383E+00,-8.74315806E-01,+4.85357467E-01,+1.00000000E+00,+2.63482068E+00
+6.05000000E-01,+0.00000000E+00,-8.51316223E-01,+5.24652922E-01,+1.00000000E+00,+2.58928529E+00,-8.76417004E-01,+4.81552942E-01,+1.00000000E+00,+2.63916688E+00
+6.10000000E-01,+0.00000000E+00,-8.53371079E-01,+5.21303943E-01,+1.00000000E+00,+2.59321442E+00,-8.78533315E-01,+4.77681081E-01,+1.00000000E+00,+2.64357938E+00
+6.15000000E-01,+0.00000000E+00,-8.55454044E-01,+5.17878730E-01,+1.00000000E+00,+2.59722327E+00,-8.80664559E-01,+4.73740366E-01,+1.00000000E+00,+2.64805949E+00
+6.20000000E-01,+0.00000000E+00,-8.57565348E-01,+5.14375032E-01,+1.00000000E+00,+2.60131393E+00,-8.82810546E-01,+4.69729221E-01,+1.00000000E+00,+2.65260862E+00
+6.25000000E-01,+0.00000000E+00,-8.59705217E-01,+5.10790505E-01,+1.00000000E+00,+2.60548861E+00,-8.84971071E-01,+4.65646006E-01,+1.00000000E+00,+2.65722821E+00
+6.30000000E-01,+0.00000000E+00,-8.61873867E-01,+5.07122705E-01,+1.00000000E+00,+2.60974957E+00,-8.87145919E-01,+4.61489023E-01,+1.00000000E+00,+2.66191974E+00
+6.35000000E-01,+0.00000000E+00,-8.64071503E-01,+5.03369087E-01,+1.00000000E+00,+2.61409920E+00,-8.89334860E-01,+4.57256501E-01,+1.00000000E+00,+2.66668480E+00
+6.40000000E-01,+0.00000000E+00,-8.66298322E-01,+4.99526993E-01,+1.00000000E+00,+2.61853997E+00,-8.91537647E-01,+4.52946601E-01,+1.00000000E+00,+2.67152500E+00
+6.45000000E-01,+0.00000000E+00,-8.68554507E-01,+4.95593652E-01,+1.00000000E+00,+2.62307446E+00,-8.93754021E-01,+4.48557410E-01,+1.00000000E+00,+2.67644205E+00
+6.50000000E-01,+0.00000000E+00,-8.70840228E-01,+4.91566168E-01,+1.00000000E+00,+2.62770536E+00,-8.95983702E-01,+4.44086935E-01,+1.00000000E+00,+2.68143772E+00
+6.55000000E-01,+0.00000000E+00,-8.73155636E-01,+4.87441519E-01,+1.00000000E+00,+2.63243546E+00,-8.98226394E-01,+4.39533098E-01,+1.00000000E+00,+2.68651385E+00
