s1,s2,Re(z_ibc3_reduced.tm),Im(z_ibc3_reduced.tm),Abs(z_ibc3_reduced.tm),Arg(z_ibc3_reduced.tm),Re(z_ibc3_reduced.te),Im(z_ibc3_reduced.te),Abs(z_ibc3_reduced.te),Arg(z_ibc3_reduced.te)
+4.65000000E-01,+0.00000000E+00,+0.00000000E+00,-3.43430317E+00,+3.43430317E+00,-1.57079633E+00,+0.00000000E+00,-3.63915665E+00,+3.63915665E+00,-1.57079633E+00
+4.70000000E-01,+0.00000000E+00,+0.00000000E+00,-3.45797817E+00,+3.45797817E+00,-1.57079633E+00,+0.00000000E+00,-3.66890459E+00,+3.66890459E+00,-1.57079633E+00
+4.75000000E-01,+0.00000000E+00,+0.00000000E+00,-3.48228731E+00,+3.48228731E+00,-1.57079633E+00,+0.00000000E+00,-3.69944932E+00,+3.69944932E+00,-1.57079633E+00
+4.80000000E-01,+0.00000000E+00,+0.00000000E+00,-3.50725214E+00,+3.50725214E+00,-1.57079633E+00,+0.00000000E+00,-3.73081794E+00,+3.73081794E+00,-1.57079633E+00
+4.85000000E-01,+0.00000000E+00,+0.00000000E+00,-3.53289529E+00,+3.53289529E+00,-1.57079633E+00,+0.00000000E+00,-3.76303887E+00,+3.76303887E+00,-1.57079633E+00
+4.90000000E-01,+0.00000000E+00,+0.00000000E+00,-3.55924048E+00,+3.55924048E+00,-1.57079633E+00,+0.00000000E+00,-3.79614193E+00,+3.79614193E+00,-1.57079633E+00
+4.95000000E-01,+0.00000000E+00,+0.00000000E+00,-3.58631261E+00,+3.58631261E+00,-1.57079633E+00,+0.00000000E+00,-3.83015840E+00,+3.83015840E+00,-1.57079633E+00
+5.00000000E-01,+0.00000000E+00,+0.00000000E+00,-3.61413783E+00,+3.61413783E+00,-1.57079633E+00,+0.00000000E+00,-3.86512113E+00,+3.86512113E+00,-1.57079633E+00
+5.05000000E-01,+0.00000000E+00,+0.00000000E+00,-3.64274360E+00,+3.64274360E+00,-1.57079633E+00,+0.00000000E+00,-3.90106464E+00,+3.90106464E+00,-1.57079633E+00
+5.10000000E-01,+0.00000000E+00,+0.00000000E+00,-3.67215881E+00,+3.67215881E+00,-1.57079633E+00,+0.00000000E+00,-3.93802521E+00,+3.93802521E+00,-1.57079633E+00
+5.15000000E-01,+0.00000000E+00,+0.00000000E+00,-3.70241384E+00,+3.70241384E+00,-1.57079633E+00,+0.00000000E+00,-3.97604103E+00,+3.97604103E+00,-1.57079633E+00
+5.20000000E-01,+0.00000000E+00,+0.00000000E+00,-3.73354066E+00,+3.73354066E+00,-1.57079633E+00,+0.00000000E+00,-4.01515226E+00,+4.01515226E+00,-1.57079633E+00
+5.25000000E-01,+0.00000000E+00,+0.00000000E+00,-3.76557296E+00,+3.76557296E+00,-1.57079633E+00,+0.00000000E+00,-4.05540124E+00,+4.05540124E+00,-1.57079633E+00
+5.30000000E-01,+0.00000000E+00,+0.00000000E+00,-3.79854623E+00,+3.79854623E+00,-1.57079633E+00,+0.00000000E+00,-4.09683256E+00,+4.09683256E+00,-1.57079633E+00
+5.35000000E-01,+0.00000000E+00,+0.00000000E+00,-3.83249791E+00,+3.83249791E+00,-1.57079633E+00,+0.00000000E+00,-4.13949327E+00,+4.13949327E+00,-1.57079633E+00
+5.40000000E-01,+0.00000000E+00,+0.00000000E+00,-3.86746751E+00,+3.86746751E+00,-1.57079633E+00,+0.00000000E+00,-4.18343300E+00,+4.18343300E+00,-1.57079633E+00
+5.45000000E-01,+0.00000000E+00,+0.00000000E+00,-3.90349675E+00,+3.90349675E+00,-1.57079633E+00,+0.00000000E+00,-4.22870419E+00,+4.22870419E+00,-1.57079633E+00
+5.50000000E-01,+0.00000000E+00,+0.00000000E+00,-3.94062974E+00,+3.94062974E+00,-1.57079633E+00,+0.00000000E+00,-4.27536225E+00,+4.27536225E+00,-1.57079633E+00
+5.55000000E-01,+0.00000000E+00,+0.00000000E+00,-3.97891312E+00,+3.97891312E+00,-1.57079633E+00,+0.00000000E+00,-4.32346578E+00,+4.32346578E+00,-1.57079633E+00
+5.60000000E-01,+0.00000000E+00,+0.00000000E+00,-4.01839625E+00,+4.01839625E+00,-1.57079633E+00,+0.00000000E+00,-4.37307684E+00,+4.37307684E+00,-1.57079633E+00
+5.65000000E-01,+0.00000000E+00,+0.00000000E+00,-4.05913146E+00,+4.05913146E+00,-1.57079633E+00,+0.00000000E+00,-4.42426112E+00,+4.42426112E+00,-1.57079633E+00
+5.70000000E-01,+0.00000000E+00,+0.00000000E+00,-4.10117418E+00,+4.10117418E+00,-1.57079633E+00,+0.00000000E+00,-4.47708833E+00,+4.47708833E+00,-1.57079633E+00
+5.75000000E-01,+0.00000000E+00,+0.00000000E+00,-4.14458327E+00,+4.14458327E+00,-1.57079633E+00,+0.00000000E+00,-4.53163238E+00,+4.53163238E+00,-1.57079633E+00
+5.80000000E-01,+0.00000000E+00,+0.00000000E+00,-4.18942120E+00,+4.18942120E+00,-1.57079633E+00,+0.00000000E+00,-4.58797180E+00,+4.58797180E+00,-1.57079633E+00
+5.85000000E-01,+0.00000000E+00,+0.00000000E+00,-4.23575443E+00,+4.23575443E+00,-1.57079633E+00,+0.00000000E+00,-4.64619007E+00,+4.64619007E+00,-1.57079633E+00
+5.90000000E-01,+0.00000000E+00,+0.00000000E+00,-4.28365362E+00,+4.28365362E+00,-1.57079633E+00,+0.00000000E+00,-4.70637600E+00,+4.70637600E+00,-1.57079633E+00
+5.95000000E-01,+0.00000000E+00,+0.00000000E+00,-4.33319407E+00,+4.33319407E+00,-1.57079633E+00,+0.00000000E+00,-4.76862418E+00,+4.76862418E+00,-1.57079633E+00
+6.00000000E-01,+0.00000000E+00,+0.00000000E+00,-4.38445601E+00,+4.38445601E+00,-1.57079633E+00,+0.00000000E+00,-4.83303545E+00,+4.83303545E+00,-1.57079633E+00
