               s1;              s2;     Re(z_ex.tm);     Im(z_ex.tm);    Abs(z_ex.tm);    Arg(z_ex.tm);     Re(z_ex.te);     Im(z_ex.te);    Abs(z_ex.te);    Arg(z_ex.te); 
  +1.04000000E+00; +0.00000000E+00; -1.11022302E-16; -3.33670636E-01; +3.33670636E-01; -1.57079633E+00; +3.21964677E-15; -1.18601774E+00; +1.18601774E+00; -1.57079633E+00; 
  +1.05000000E+00; +0.00000000E+00; +6.93889390E-17; -3.29735640E-01; +3.29735640E-01; -1.57079633E+00; +4.55191440E-15; -1.17898047E+00; +1.17898047E+00; -1.57079633E+00; 
  +1.06000000E+00; +0.00000000E+00; +2.77555756E-17; -3.25794055E-01; +3.25794055E-01; -1.57079633E+00; -2.22044605E-16; -1.17196870E+00; +1.17196870E+00; -1.57079633E+00; 
  +1.07000000E+00; +0.00000000E+00; -8.32667268E-17; -3.21846357E-01; +3.21846357E-01; -1.57079633E+00; +1.33226763E-15; -1.16498323E+00; +1.16498323E+00; -1.57079633E+00; 
  +1.08000000E+00; +0.00000000E+00; -2.77555756E-17; -3.17893013E-01; +3.17893013E-01; -1.57079633E+00; +1.55431223E-15; -1.15802483E+00; +1.15802483E+00; -1.57079633E+00; 
  +1.09000000E+00; +0.00000000E+00; -4.16333634E-17; -3.13934483E-01; +3.13934483E-01; -1.57079633E+00; +4.44089210E-16; -1.15109423E+00; +1.15109423E+00; -1.57079633E+00; 
  +1.10000000E+00; +0.00000000E+00; -1.52655666E-16; -3.09971220E-01; +3.09971220E-01; -1.57079633E+00; +8.88178420E-16; -1.14419214E+00; +1.14419214E+00; -1.57079633E+00; 
  +1.11000000E+00; +0.00000000E+00; +8.32667268E-17; -3.06003668E-01; +3.06003668E-01; -1.57079633E+00; +7.77156117E-16; -1.13731924E+00; +1.13731924E+00; -1.57079633E+00; 
  +1.12000000E+00; +0.00000000E+00; -4.16333634E-17; -3.02032264E-01; +3.02032264E-01; -1.57079633E+00; -9.99200722E-16; -1.13047617E+00; +1.13047617E+00; -1.57079633E+00; 
  +1.13000000E+00; +0.00000000E+00; -3.46944695E-16; -2.98057437E-01; +2.98057437E-01; -1.57079633E+00; +1.22124533E-15; -1.12366354E+00; +1.12366354E+00; -1.57079633E+00; 
  +1.14000000E+00; +0.00000000E+00; +6.93889390E-17; -2.94079610E-01; +2.94079610E-01; -1.57079633E+00; +4.66293670E-15; -1.11688197E+00; +1.11688197E+00; -1.57079633E+00; 
  +1.15000000E+00; +0.00000000E+00; -1.94289029E-16; -2.90099195E-01; +2.90099195E-01; -1.57079633E+00; +1.99840144E-15; -1.11013200E+00; +1.11013200E+00; -1.57079633E+00; 
  +1.16000000E+00; +0.00000000E+00; -4.16333634E-17; -2.86116599E-01; +2.86116599E-01; -1.57079633E+00; +7.77156117E-16; -1.10341419E+00; +1.10341419E+00; -1.57079633E+00; 
  +1.17000000E+00; +0.00000000E+00; +2.77555756E-17; -2.82132221E-01; +2.82132221E-01; -1.57079633E+00; -6.66133815E-16; -1.09672904E+00; +1.09672904E+00; -1.57079633E+00; 
  +1.18000000E+00; +0.00000000E+00; +6.93889390E-17; -2.78146451E-01; +2.78146451E-01; -1.57079633E+00; +6.66133815E-16; -1.09007704E+00; +1.09007704E+00; -1.57079633E+00; 
  +1.19000000E+00; +0.00000000E+00; -1.66533454E-16; -2.74159673E-01; +2.74159673E-01; -1.57079633E+00; -8.88178420E-16; -1.08345866E+00; +1.08345866E+00; -1.57079633E+00; 
  +1.20000000E+00; +0.00000000E+00; -4.16333634E-17; -2.70172263E-01; +2.70172263E-01; -1.57079633E+00; +1.33226763E-15; -1.07687434E+00; +1.07687434E+00; -1.57079633E+00; 
  +1.21000000E+00; +0.00000000E+00; -4.16333634E-17; -2.66184588E-01; +2.66184588E-01; -1.57079633E+00; -1.11022302E-16; -1.07032450E+00; +1.07032450E+00; -1.57079633E+00; 
  +1.22000000E+00; +0.00000000E+00; -2.63677968E-16; -2.62197010E-01; +2.62197010E-01; -1.57079633E+00; +1.33226763E-15; -1.06380952E+00; +1.06380952E+00; -1.57079633E+00; 
  +1.23000000E+00; +0.00000000E+00; +1.38777878E-17; -2.58209881E-01; +2.58209881E-01; -1.57079633E+00; +2.99760217E-15; -1.05732979E+00; +1.05732979E+00; -1.57079633E+00; 
  +1.24000000E+00; +0.00000000E+00; -6.93889390E-17; -2.54223548E-01; +2.54223548E-01; -1.57079633E+00; -5.55111512E-16; -1.05088565E+00; +1.05088565E+00; -1.57079633E+00; 
  +1.25000000E+00; +0.00000000E+00; -8.32667268E-17; -2.50238348E-01; +2.50238348E-01; -1.57079633E+00; -8.88178420E-16; -1.04447743E+00; +1.04447743E+00; -1.57079633E+00; 
  +1.26000000E+00; +0.00000000E+00; +4.16333634E-17; -2.46254614E-01; +2.46254614E-01; -1.57079633E+00; -1.05471187E-15; -1.03810543E+00; +1.03810543E+00; -1.57079633E+00; 
  +1.27000000E+00; +0.00000000E+00; -2.77555756E-17; -2.42272667E-01; +2.42272667E-01; -1.57079633E+00; +1.77635684E-15; -1.03176996E+00; +1.03176996E+00; -1.57079633E+00; 
  +1.28000000E+00; +0.00000000E+00; +4.16333634E-17; -2.38292826E-01; +2.38292826E-01; -1.57079633E+00; +6.10622664E-16; -1.02547127E+00; +1.02547127E+00; -1.57079633E+00; 
  +1.29000000E+00; +0.00000000E+00; -5.55111512E-17; -2.34315398E-01; +2.34315398E-01; -1.57079633E+00; +7.77156117E-16; -1.01920961E+00; +1.01920961E+00; -1.57079633E+00; 
