theta,Mie,CI0,CI3,CI3+CSU,CI3*+CSU
32.7,5.05714117,5.03172907,5.06630415,5.57547695,5.07929109
32.8,5.05689327,5.04168432,5.06458284,5.57567185,5.08005774
32.9,5.05664934,5.05215444,5.06289236,5.57586764,5.08082696
33,5.05641076,5.06311329,5.06123745,5.5760641,5.0815977
33.1,5.05617886,5.0745341,5.0596228,5.57626103,5.08236895
33.2,5.055955,5.08638944,5.05805303,5.57645821,5.08313966
33.3,5.05574052,5.09865139,5.05653265,5.57665544,5.08390883
33.4,5.05553672,5.11129156,5.05506609,5.5768525,5.08467542
33.5,5.05534493,5.12428116,5.05365766,5.57704922,5.08543844
33.6,5.05516641,5.13759112,5.05231153,5.5772454,5.0861969
33.7,5.05500243,5.15119212,5.05103174,5.57744087,5.08694982
33.8,5.05485421,5.16505465,5.04982219,5.57763545,5.08769623
33.9,5.05472295,5.17914914,5.04868661,5.57782898,5.0884352
34,5.05460981,5.19344596,5.04762855,5.57802131,5.08916579
34.1,5.05451591,5.20791553,5.0466514,5.57821228,5.08988712
34.2,5.05444232,5.22252834,5.04575832,5.57840177,5.09059831
34.3,5.05439008,5.23725506,5.0449523,5.57858964,5.09129851
34.4,5.05436017,5.25206656,5.04423611,5.57877578,5.0919869
34.5,5.05435351,5.26693398,5.04361229,5.57896009,5.09266269
34.6,5.05437098,5.28182878,5.04308316,5.57914246,5.09332512
34.7,5.05441341,5.29672278,5.0426508,5.57932281,5.09397347
34.8,5.05448154,5.31158824,5.04231705,5.57950107,5.09460705
34.9,5.05457607,5.32639786,5.0420835,5.57967717,5.09522519
35,5.05469763,5.34112487,5.0419515,5.57985106,5.09582729
35.1,5.05484679,5.35574302,5.04192211,5.58002269,5.09641277
35.2,5.05502403,5.37022667,5.04199616,5.58019205,5.09698108
35.3,5.05522979,5.38455077,5.04217419,5.5803591,5.09753173
35.4,5.0554644,5.39869096,5.0424565,5.58052385,5.09806425
35.5,5.05572816,5.41262352,5.04284309,5.58068629,5.09857824
35.6,5.05602126,5.42632548,5.04333372,5.58084644,5.09907331
35.7,5.05634383,5.43977458,5.04392786,5.58100432,5.09954915
35.8,5.05669592,5.45294934,5.04462471,5.58115997,5.10000547
35.9,5.05707752,5.46582905,5.04542321,5.58131343,5.10044202
36,5.05748851,5.47839382,5.04632204,5.58146477,5.10085861
36.1,5.05792873,5.49062457,5.04731962,5.58161405,5.10125509
36.2,5.05839792,5.50250309,5.0484141,5.58176134,5.10163136
36.3,5.05889575,5.51401199,5.04960337,5.58190673,5.10198735
36.4,5.05942181,5.52513477,5.05088511,5.58205031,5.10232305
36.5,5.05997563,5.53585582,5.05225672,5.5821922,5.10263848
36.6,5.06055666,5.54616042,5.05371539,5.5823325,5.10293373
36.7,5.06116427,5.55603476,5.05525807,5.58247133,5.1032089
36.8,5.06179777,5.56546594,5.05688151,5.58260882,5.10346416
36.9,5.06245639,5.57444199,5.05858222,5.5827451,5.10369971
37,5.06313931,5.58295187,5.06035656,5.58288032,5.1039158
