theta,Mie,CI0,CI3,CI3+CSU,CI3*+CSU
127.8,5.59581873,1.40991319,5.67177488,5.27544015,5.66991839
127.9,5.67490327,2.0366467,5.75468237,5.28993771,5.75255236
128,5.74998893,2.63710885,5.8333337,5.30338952,5.83093343
128.1,5.82096924,3.20884752,5.90762798,5.31571345,5.90496106
128.2,5.8877475,3.75111939,5.97747406,5.32683178,5.97454438
128.3,5.9502356,4.26420842,6.0427893,5.33667132,6.039601
128.4,6.00835304,4.74898714,6.10349849,5.34516366,6.10005588
128.5,6.06202594,5.20664021,6.15953284,5.3522453,6.15584038
128.6,6.11118625,5.63849294,6.21082905,5.35785779,6.2068913
128.7,6.15577093,6.04590731,6.25732848,5.36194793,6.25315007
128.8,6.19572123,6.43022042,6.29897645,5.36446788,6.29456204
128.9,6.23098209,6.79270981,6.33572152,5.36537527,6.33107581
129,6.26150155,7.13457532,6.36751489,5.3646334,6.36264259
129.1,6.28723022,7.45693133,6.39430992,5.36221133,6.38921569
129.2,6.30812085,7.76080516,6.41606155,5.35808401,6.41075007
129.3,6.32412789,8.04713904,6.43272596,5.35223247,6.42720186
129.4,6.33520716,8.31679419,6.44426016,5.34464388,6.43852802
129.5,6.34131554,8.57055585,6.45062163,5.3353118,6.44468603
129.6,6.34241065,8.80913876,6.4517681,5.32423625,6.44563353
129.7,6.33845071,9.03319256,6.44765724,5.31142389,6.44132819
129.8,6.32939429,9.24330709,6.4382465,5.2968882,6.4317274
129.9,6.31520022,9.44001731,6.42349294,5.28064964,6.41678822
130,6.29582747,9.62380782,6.40335313,5.26273582,6.39646716
130.1,6.2712351,9.79511705,6.37778302,5.24318166,6.3707202
130.2,6.2413823,9.95434092,6.346738,5.22202959,6.33950272
130.3,6.2062284,10.1018363,6.31017285,5.19932969,6.3027695
130.4,6.16573297,10.2379238,6.26804182,5.17513989,6.26047486
130.5,6.11985604,10.3628908,6.22029881,5.14952611,6.21257274
130.6,6.06855829,10.4769934,6.16689751,5.12256242,6.15901693
130.7,6.01180138,10.5804586,6.10779172,5.09433114,6.09976132
130.8,5.94954835,10.6734862,6.04293565,5.06492299,6.0347603
