theta1,theta_2,Re(r_ibc1.tm),Im(r_ibc1.tm),Abs(r_ibc1.tm),Arg(r_ibc1.tm),Re(r_ibc1.te),Im(r_ibc1.te),Abs(r_ibc1.te),Arg(r_ibc1.te)
+5.03538889E+01,+0.00000000E+00,+7.85329490E-01,-5.36173051E-01,+9.50906908E-01,-5.99045469E-01,+9.47744743E-01,-2.41981417E-01,+9.78148815E-01,-2.49982619E-01
+5.12605754E+01,+0.00000000E+00,+7.78191408E-01,-5.40793063E-01,+9.47649199E-01,-6.07319075E-01,+9.48519896E-01,-2.36179536E-01,+9.77481850E-01,-2.44035361E-01
+5.21855115E+01,+0.00000000E+00,+7.70456742E-01,-5.45187010E-01,+9.43839217E-01,-6.15818667E-01,+9.49215122E-01,-2.30054148E-01,+9.76695582E-01,-2.37777609E-01
+5.31301024E+01,+0.00000000E+00,+7.62048729E-01,-5.49194538E-01,+9.39325771E-01,-6.24471836E-01,+9.49803245E-01,-2.23554120E-01,+9.75757474E-01,-2.31161501E-01
+5.40959314E+01,+0.00000000E+00,+7.52875294E-01,-5.52578333E-01,+9.33897223E-01,-6.33154486E-01,+9.50246146E-01,-2.16611249E-01,+9.74622066E-01,-2.24123155E-01
+5.50847938E+01,+0.00000000E+00,+7.42823400E-01,-5.54979567E-01,+9.27248038E-01,-6.41656524E-01,+9.50488662E-01,-2.09131418E-01,+9.73223842E-01,-2.16574302E-01
+5.60987380E+01,+0.00000000E+00,+7.31748977E-01,-5.55840080E-01,+9.18920432E-01,-6.49619933E-01,+9.50447867E-01,-2.00979361E-01,+9.71464797E-01,-2.08387755E-01
+5.71401196E+01,+0.00000000E+00,+7.19456670E-01,-5.54258908E-01,+9.08196475E-01,-6.56420616E-01,+9.49993116E-01,-1.91950753E-01,+9.69191422E-01,-1.99370631E-01
+5.82116694E+01,+0.00000000E+00,+7.05653125E-01,-5.48709252E-01,+8.93883760E-01,-6.60926546E-01,+9.48905985E-01,-1.81717240E-01,+9.66148913E-01,-1.89211057E-01
+5.93165829E+01,+0.00000000E+00,+6.89822194E-01,-5.36430007E-01,+8.73848849E-01,-6.60954314E-01,+9.46791689E-01,-1.69707489E-01,+9.61881040E-01,-1.77361345E-01
+6.04586395E+01,+0.00000000E+00,+6.70830842E-01,-5.11962370E-01,+8.43871724E-01,-6.51880906E-01,+9.42856246E-01,-1.54815813E-01,+9.55481992E-01,-1.62746501E-01
+6.16423634E+01,+0.00000000E+00,+6.45392089E-01,-4.63054737E-01,+7.94324013E-01,-6.22360221E-01,+9.35232074E-01,-1.34552293E-01,+9.44861552E-01,-1.42889990E-01
+6.28732469E+01,+0.00000000E+00,+5.99929936E-01,-3.56535289E-01,+6.97877741E-01,-5.36213998E-01,+9.18246091E-01,-1.01797378E-01,+9.23871523E-01,-1.10409829E-01
+6.41580672E+01,+0.00000000E+00,+4.38583037E-01,-7.68254501E-02,+4.45260857E-01,-1.73408087E-01,+8.62922526E-01,-2.44127210E-02,+8.63267784E-01,-2.82832008E-02
+6.55053515E+01,+0.00000000E+00,-1.00297548E+00,-7.27505569E-03,+1.00300186E+00,-3.13433931E+00,-1.01667674E+00,-4.29212846E-02,+1.01758235E+00,-3.09940047E+00
+6.69260819E+01,+0.00000000E+00,-9.72683470E-02,-1.47597388E+00,+1.47917546E+00,-1.63660230E+00,+1.07581739E+00,-3.34838583E-01,+1.12672087E+00,-3.01737556E-01
+6.84348150E+01,+0.00000000E+00,+2.32664037E-01,-1.25581803E+00,+1.27718890E+00,-1.38760456E+00,+1.03085123E+00,-2.28845037E-01,+1.05594712E+00,-2.18453532E-01
+7.00515564E+01,+0.00000000E+00,+2.65110419E-01,-1.15931889E+00,+1.18924507E+00,-1.34598413E+00,+1.01579732E+00,-1.87840507E-01,+1.03301899E+00,-1.82853715E-01
+7.18051277E+01,+0.00000000E+00,+2.24830098E-01,-1.11986153E+00,+1.14220769E+00,-1.37266436E+00,+1.00889824E+00,-1.61010686E-01,+1.02166535E+00,-1.58256067E-01
+7.37397953E+01,+0.00000000E+00,+1.41875054E-01,-1.10369845E+00,+1.11277977E+00,-1.44295229E+00,+1.00534104E+00,-1.38632014E-01,+1.01485439E+00,-1.37031312E-01
+7.59301323E+01,+0.00000000E+00,+1.36346168E-02,-1.09185777E+00,+1.09194290E+00,-1.55830944E+00,+1.00345220E+00,-1.17088976E-01,+1.01026043E+00,-1.16160851E-01
+7.85216590E+01,+0.00000000E+00,-1.80217017E-01,-1.05963312E+00,+1.07484907E+00,-1.73925930E+00,+1.00246830E+00,-9.39517387E-02,+1.00686128E+00,-9.34474472E-02
+8.18903855E+01,+0.00000000E+00,-4.87706634E-01,-9.37026008E-01,+1.05635008E+00,-2.05069618E+00,+1.00190267E+00,-6.55957597E-02,+1.00404769E+00,-6.53778824E-02
+9.00000000E+01,+0.00000000E+00,-1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+3.14159265E+00,+1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+0.00000000E+00
