theta_1,theta_2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+4.70353509E+00,+0.00000000E+00,+9.06710354E-01,-4.03832522E-01,+9.92574618E-01,-4.19007011E-01,+9.08519531E-01,-4.03164814E-01,+9.93956541E-01,-4.17652810E-01
+4.76102686E+00,+0.00000000E+00,+9.06680283E-01,-4.03817674E-01,+9.92541107E-01,-4.19005672E-01,+9.08533966E-01,-4.03133495E-01,+9.93957032E-01,-4.17618118E-01
+4.81852343E+00,+0.00000000E+00,+9.06649842E-01,-4.03802648E-01,+9.92507186E-01,-4.19004321E-01,+9.08548577E-01,-4.03101793E-01,+9.93957530E-01,-4.17583003E-01
+4.87602487E+00,+0.00000000E+00,+9.06619031E-01,-4.03787442E-01,+9.92472854E-01,-4.19002956E-01,+9.08563362E-01,-4.03069709E-01,+9.93958034E-01,-4.17547465E-01
+4.93353123E+00,+0.00000000E+00,+9.06587850E-01,-4.03772058E-01,+9.92438112E-01,-4.19001578E-01,+9.08578323E-01,-4.03037242E-01,+9.93958544E-01,-4.17511503E-01
+4.99104257E+00,+0.00000000E+00,+9.06556299E-01,-4.03756495E-01,+9.92402958E-01,-4.19000187E-01,+9.08593458E-01,-4.03004391E-01,+9.93959059E-01,-4.17475117E-01
+5.04855896E+00,+0.00000000E+00,+9.06524377E-01,-4.03740754E-01,+9.92367393E-01,-4.18998784E-01,+9.08608769E-01,-4.02971157E-01,+9.93959581E-01,-4.17438307E-01
+5.10608044E+00,+0.00000000E+00,+9.06492084E-01,-4.03724833E-01,+9.92331416E-01,-4.18997368E-01,+9.08624255E-01,-4.02937540E-01,+9.93960109E-01,-4.17401073E-01
+5.16360709E+00,+0.00000000E+00,+9.06459420E-01,-4.03708734E-01,+9.92295028E-01,-4.18995940E-01,+9.08639916E-01,-4.02903539E-01,+9.93960643E-01,-4.17363415E-01
+5.22113896E+00,+0.00000000E+00,+9.06426385E-01,-4.03692456E-01,+9.92258228E-01,-4.18994499E-01,+9.08655753E-01,-4.02869155E-01,+9.93961183E-01,-4.17325333E-01
