theta1,theta_2,Re(r_ibc01p.11),Im(r_ibc01p.11),Abs(r_ibc01p.11),Arg(r_ibc01p.11),Re(r_ibc01p.21),Im(r_ibc01p.21),Abs(r_ibc01p.21),Arg(r_ibc01p.21),Re(r_ibc01p.12),Im(r_ibc01p.12),Abs(r_ibc01p.12),Arg(r_ibc01p.12),Re(r_ibc01p.22),Im(r_ibc01p.22),Abs(r_ibc01p.22),Arg(r_ibc01p.22)
+2.80342965E+01,+0.00000000E+00,+8.56299528E-01,-3.69779380E-01,+9.32730224E-01,-4.07644966E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.32923585E-01,-3.72894594E-01,+1.00468741E+00,-3.80252386E-01
+2.86854020E+01,+0.00000000E+00,+8.54553903E-01,-3.70332555E-01,+9.31347719E-01,-4.08933309E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.33304845E-01,-3.69611718E-01,+1.00382805E+00,-3.77074655E-01
+2.93405816E+01,+0.00000000E+00,+8.52743672E-01,-3.70914261E-01,+9.29918899E-01,-4.10281325E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.33693500E-01,-3.66260377E-01,+1.00296072E+00,-3.73825271E-01
+3.00000000E+01,+0.00000000E+00,+8.50866200E-01,-3.71526078E-01,+9.28442199E-01,-4.11692189E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.34089673E-01,-3.62840430E-01,+1.00208617E+00,-3.70503763E-01
+3.06638297E+01,+0.00000000E+00,+8.48918664E-01,-3.72169698E-01,+9.26915952E-01,-4.13169312E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.34493514E-01,-3.59351706E-01,+1.00120516E+00,-3.67109626E-01
+3.13322515E+01,+0.00000000E+00,+8.46898034E-01,-3.72846927E-01,+9.25338376E-01,-4.14716373E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.34905191E-01,-3.55794006E-01,+1.00031850E+00,-3.63642318E-01
+3.20054548E+01,+0.00000000E+00,+8.44801055E-01,-3.73559706E-01,+9.23707571E-01,-4.16337334E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.35324904E-01,-3.52167090E-01,+9.99427003E-01,-3.60101255E-01
+3.26836388E+01,+0.00000000E+00,+8.42624227E-01,-3.74310113E-01,+9.22021501E-01,-4.18036474E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.35752876E-01,-3.48470682E-01,+9.98531553E-01,-3.56485810E-01
+3.33670130E+01,+0.00000000E+00,+8.40363776E-01,-3.75100381E-01,+9.20277987E-01,-4.19818419E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.36189363E-01,-3.44704462E-01,+9.97633043E-01,-3.52795306E-01
+3.40557977E+01,+0.00000000E+00,+8.38015634E-01,-3.75932912E-01,+9.18474691E-01,-4.21688179E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.36634650E-01,-3.40868061E-01,+9.96732413E-01,-3.49029014E-01
+3.47502258E+01,+0.00000000E+00,+8.35575403E-01,-3.76810291E-01,+9.16609105E-01,-4.23651188E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.37089060E-01,-3.36961058E-01,+9.95830639E-01,-3.45186150E-01
