s,n,Re(f_ibc6.tm),Im(f_ibc6.tm),Abs(f_ibc6.tm),Arg(f_ibc6.tm),Re(f_ibc6.te),Im(f_ibc6.te),Abs(f_ibc6.te),Arg(f_ibc6.te)
+0.00000000E+00,+8.20000000E+01,-6.95730043E-19,+8.34155302E-10,+8.34155302E-10,+1.57079633E+00,-2.24115186E-16,-1.49704609E-08,+1.49704609E-08,-1.57079634E+00
+0.00000000E+00,+8.30000000E+01,-3.05407478E-20,+1.74818352E-10,+1.74818352E-10,+1.57079633E+00,-8.94909986E-18,-2.99149112E-09,+2.99149112E-09,-1.57079633E+00
+0.00000000E+00,+8.40000000E+01,-1.24134995E-21,+3.53012314E-11,+3.53012314E-11,+1.57079633E+00,-3.38913198E-19,-5.82152129E-10,+5.82152129E-10,-1.57079633E+00
+0.00000000E+00,+8.50000000E+01,-4.61710814E-23,+6.87521727E-12,+6.87521727E-12,+1.57079633E+00,-1.21641616E-20,-1.10206542E-10,+1.10206542E-10,-1.57079633E+00
+0.00000000E+00,+8.60000000E+01,-1.43926161E-24,+1.29263932E-12,+1.29263932E-12,+1.57079633E+00,-4.11646403E-22,-2.02833571E-11,+2.02833571E-11,-1.57079633E+00
+0.00000000E+00,+8.70000000E+01,-7.27374012E-27,+2.34820634E-13,+2.34820634E-13,+1.57079633E+00,-1.31969466E-23,-3.62837217E-12,+3.62837217E-12,-1.57079633E+00
+0.00000000E+00,+8.80000000E+01,+7.81930532E-27,+4.12489118E-14,+4.12489118E-14,+1.57079633E+00,-4.00475089E-25,-6.30802243E-13,+6.30802243E-13,-1.57079633E+00
+0.00000000E+00,+8.90000000E+01,+1.77932285E-27,+7.01186667E-15,+7.01186667E-15,+1.57079633E+00,-1.16462526E-26,-1.06589879E-13,+1.06589879E-13,-1.57079633E+00
+0.00000000E+00,+9.00000000E+01,+3.37279366E-28,+1.15427028E-15,+1.15427028E-15,+1.57079633E+00,-2.70124285E-28,-1.75087135E-14,+1.75087135E-14,-1.57079633E+00
+0.00000000E+00,+9.10000000E+01,+6.05985483E-29,+1.84129704E-16,+1.84129704E-16,+1.57079633E+00,+2.78837165E-30,-2.79647606E-15,+2.79647606E-15,-1.57079633E+00
+0.00000000E+00,+9.20000000E+01,+1.04937724E-29,+2.84810462E-17,+2.84810462E-17,+1.57079633E+00,+3.23939229E-30,-4.34419459E-16,+4.34419459E-16,-1.57079633E+00
+0.00000000E+00,+9.30000000E+01,+1.75952992E-30,+4.27426872E-18,+4.27426872E-18,+1.57079633E+00,+6.03087947E-31,-6.56575337E-17,+6.56575337E-17,-1.57079633E+00
+0.00000000E+00,+9.40000000E+01,+2.85758934E-31,+6.22709516E-19,+6.22709516E-19,+1.57079633E+00,+1.20553189E-31,-9.65786981E-18,+9.65786981E-18,-1.57079633E+00
+0.00000000E+00,+9.50000000E+01,+4.49874266E-32,+8.81166337E-20,+8.81166337E-20,+1.57079633E+00,+2.04258864E-32,-1.38308597E-18,+1.38308597E-18,-1.57079633E+00
+0.00000000E+00,+9.60000000E+01,+6.87417958E-33,+1.21170726E-20,+1.21170726E-20,+1.57079633E+00,+3.28070153E-33,-1.92903641E-19,+1.92903641E-19,-1.57079633E+00
+0.00000000E+00,+9.70000000E+01,+1.01941836E-33,+1.61998940E-21,+1.61998940E-21,+1.57079633E+00,+5.08895405E-34,-2.62125054E-20,+2.62125054E-20,-1.57079633E+00
+0.00000000E+00,+9.80000000E+01,+1.46932021E-34,+2.10667566E-22,+2.10667566E-22,+1.57079633E+00,+7.35775798E-35,-3.47141655E-21,+3.47141655E-21,-1.57079633E+00
+0.00000000E+00,+9.90000000E+01,+2.05745656E-35,+2.66587844E-23,+2.66587844E-23,+1.57079633E+00,+1.07100052E-35,-4.48215764E-22,+4.48215764E-22,-1.57079633E+00
+0.00000000E+00,+1.00000000E+02,+2.80269832E-36,+3.28410066E-24,+3.28410066E-24,+1.57079633E+00,+1.47447706E-36,-5.64416938E-23,+5.64416938E-23,-1.57079633E+00
+0.00000000E+00,+1.01000000E+02,+3.71596718E-37,+3.93996968E-25,+3.93996968E-25,+1.57079633E+00,+1.87113037E-37,-6.93415441E-24,+6.93415441E-24,-1.57079633E+00
+0.00000000E+00,+1.02000000E+02,+4.79450399E-38,+4.60497544E-26,+4.60497544E-26,+1.57079633E+00,+2.54866996E-38,-8.31405654E-25,+8.31405654E-25,-1.57079633E+00
+0.00000000E+00,+1.03000000E+02,+6.02713256E-39,+5.24527879E-27,+5.24527879E-27,+1.57079633E+00,+3.06714359E-39,-9.73197613E-26,+9.73197613E-26,-1.57079633E+00
