n,Re(m_ex.11),Im(m_ex.11),Abs(m_ex.11),Arg(m_ex.11),Re(m_ex.21),Im(m_ex.21),Abs(m_ex.21),Arg(m_ex.21),Re(m_ex.12),Im(m_ex.12),Abs(m_ex.12),Arg(m_ex.12),Re(m_ex.22),Im(m_ex.22),Abs(m_ex.22),Arg(m_ex.22)
+6.70000000E+01,-1.06020452E-03,+3.25435169E-02,+3.25607820E-02,+1.60336287E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.24395626E-02,+1.77164436E-01,+1.80109863E-01,+1.75189447E+00
+6.80000000E+01,-2.12181274E-04,+1.45648980E-02,+1.45664434E-02,+1.58536329E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.18078505E-02,+1.08020485E-01,+1.08663934E-01,+1.67967525E+00
+6.90000000E+01,-3.63384732E-05,+6.02803059E-03,+6.02814011E-03,+1.57682450E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.90505648E-03,+6.23683174E-02,+6.24904511E-02,+1.63332752E+00
+7.00000000E+01,-5.39135166E-06,+2.32192218E-03,+2.32192843E-03,+1.57311826E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.21533621E-03,+3.48404817E-02,+3.48616725E-02,+1.60566506E+00
+7.10000000E+01,-7.01071632E-07,+8.37299911E-04,+8.37300204E-04,+1.57163363E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.81765446E-04,+1.95350890E-02,+1.95388189E-02,+1.59033639E+00
+7.20000000E+01,-8.07055065E-08,+2.84087135E-04,+2.84087146E-04,+1.57108041E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.42834495E-04,+1.19504850E-02,+1.19513386E-02,+1.58274795E+00
+7.30000000E+01,-8.29260175E-09,+9.10637231E-05,+9.10637235E-05,+1.57088739E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.22392007E-04,+1.10624151E-02,+1.10630921E-02,+1.58185964E+00
+7.40000000E+01,-7.65682406E-10,+2.76709669E-05,+2.76709669E-05,+1.57082400E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.64629220E-05,-6.03834352E-03,+6.03845361E-03,-1.57683482E+00
+7.50000000E+01,-6.38860910E-11,+7.99287756E-06,+7.99287756E-06,+1.57080432E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.74607082E-07,-5.24029585E-04,+5.24029657E-04,-1.57132036E+00
+7.60000000E+01,-4.83978972E-12,+2.19995215E-06,+2.19995215E-06,+1.57079853E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.26493506E-09,-9.09116882E-05,+9.09116886E-05,-1.57088724E+00
