n,Re(m_ibc0.11),Im(m_ibc0.11),Abs(m_ibc0.11),Arg(m_ibc0.11),Re(m_ibc0.21),Im(m_ibc0.21),Abs(m_ibc0.21),Arg(m_ibc0.21),Re(m_ibc0.12),Im(m_ibc0.12),Abs(m_ibc0.12),Arg(m_ibc0.12),Re(m_ibc0.22),Im(m_ibc0.22),Abs(m_ibc0.22),Arg(m_ibc0.22)
+2.90000000E+01,-7.30627665E-01,-4.43633723E-01,+8.54767609E-01,-2.59589924E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.69595080E-01,+3.75276683E-01,+4.11819232E-01,+1.99524587E+00
+3.00000000E+01,-7.46991680E-01,+4.34735678E-01,+8.64286804E-01,+2.61452708E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.73794477E-01,-4.83810051E-01,+6.11387338E-01,-2.22860890E+00
+3.10000000E+01,-1.16141796E-04,-1.07762845E-02,+1.07769103E-02,-1.58157345E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.77215067E-01,+1.49217225E-01,+9.88541889E-01,+2.99006669E+00
+3.20000000E+01,-7.49689450E-01,-4.33191850E-01,+8.65846089E-01,-2.61763536E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.32580415E-01,+3.39120699E-01,+3.64115936E-01,+1.94347973E+00
+3.30000000E+01,-7.75638677E-01,+4.17161024E-01,+8.80703513E-01,+2.64814173E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.71847875E-01,-4.83298079E-01,+6.09793305E-01,-2.22659610E+00
+3.40000000E+01,-6.19856298E-03,+7.84865644E-02,+7.87309531E-02,+1.64960884E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.90966127E-01,+9.46163971E-02,+9.95472816E-01,+3.04640227E+00
+3.50000000E+01,-6.14193387E-01,-4.86785240E-01,+7.83704911E-01,-2.47140466E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.16460000E-01,+4.11831359E-01,+4.65252619E-01,+2.05471630E+00
+3.60000000E+01,-9.18303766E-01,+2.73901368E-01,+9.58281674E-01,+2.85172487E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.20697800E-01,-4.14717109E-01,+4.69784844E-01,-2.05984336E+00
+3.70000000E+01,-1.11533690E-01,+3.14791877E-01,+3.33966600E-01,+1.91130500E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.83772690E-01,-1.26348662E-01,+9.91853160E-01,-3.01385913E+00
+3.80000000E+01,-3.00316475E-01,-4.58395560E-01,+5.48011382E-01,-2.15078132E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.78321786E-01,+4.99529834E-01,+6.91608116E-01,+2.33450948E+00
