s,n,Re(f_ibc0.11),Im(f_ibc0.11),Abs(f_ibc0.11),Arg(f_ibc0.11),Re(f_ibc0.21),Im(f_ibc0.21),Abs(f_ibc0.21),Arg(f_ibc0.21),Re(f_ibc0.12),Im(f_ibc0.12),Abs(f_ibc0.12),Arg(f_ibc0.12),Re(f_ibc0.22),Im(f_ibc0.22),Abs(f_ibc0.22),Arg(f_ibc0.22)
+0.00000000E+00,+8.60000000E+01,-2.25105098E-25,+4.75603021E-13,+4.75603021E-13,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.76826239E-19,+6.90546040E-10,+6.90546040E-10,+1.57079633E+00
+0.00000000E+00,+8.70000000E+01,-5.59508635E-27,+7.60823793E-14,+7.60823793E-14,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.20949212E-20,-3.03480484E-10,+3.03480484E-10,-1.57079633E+00
+0.00000000E+00,+8.80000000E+01,-9.30136428E-29,+1.14462330E-14,+1.14462330E-14,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.76844607E-22,-1.33099376E-11,+1.33099376E-11,-1.57079633E+00
+0.00000000E+00,+8.90000000E+01,+3.96311603E-30,+1.60022353E-15,+1.60022353E-15,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.86920099E-24,-1.36480856E-12,+1.36480856E-12,-1.57079633E+00
+0.00000000E+00,+9.00000000E+01,+1.17170305E-30,+2.03123845E-16,+2.03123845E-16,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.62408354E-26,-1.66835409E-13,+1.66835409E-13,-1.57079633E+00
+0.00000000E+00,+9.10000000E+01,+1.83146079E-31,+2.21971951E-17,+2.21971951E-17,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.62521498E-28,-2.17444615E-14,+2.17444615E-14,-1.57079633E+00
+0.00000000E+00,+9.20000000E+01,+3.30284906E-32,+1.75744741E-18,+1.75744741E-18,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.26677270E-29,-2.90379379E-15,+2.90379379E-15,-1.57079633E+00
+0.00000000E+00,+9.30000000E+01,+4.63513364E-33,-3.52006881E-21,+3.52006881E-21,-1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.51760322E-32,-3.89994945E-16,+3.89994945E-16,-1.57079633E+00
+0.00000000E+00,+9.40000000E+01,+8.05519325E-34,-4.19227425E-20,+4.19227425E-20,-1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.67954879E-31,-5.21505033E-17,+5.21505033E-17,-1.57079633E+00
+0.00000000E+00,+9.50000000E+01,+1.06508767E-34,-1.21696608E-20,+1.21696608E-20,-1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.70095350E-32,-6.90205752E-18,+6.90205752E-18,-1.57079633E+00
+0.00000000E+00,+9.60000000E+01,+1.73556820E-35,-2.58733763E-21,+2.58733763E-21,-1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.37625598E-33,-9.00732639E-19,+9.00732639E-19,-1.57079633E+00
