              s1;              s2; Re(z_ibc3_reduc; Im(z_ibc3_reduc; Abs(z_ibc3_redu; Arg(z_ibc3_redu; Re(z_ibc3_reduc; Im(z_ibc3_reduc; Abs(z_ibc3_redu; Arg(z_ibc3_redu; 
  +1.15000000E+00; +0.00000000E+00; -0.00000000E+00; +4.61099522E-02; +4.61099522E-02; +1.57079633E+00; -0.00000000E+00; -1.18290909E-02; +1.18290909E-02; -1.57079633E+00; 
  +1.16000000E+00; +0.00000000E+00; -0.00000000E+00; +4.71998326E-02; +4.71998326E-02; +1.57079633E+00; -0.00000000E+00; -1.17373681E-02; +1.17373681E-02; -1.57079633E+00; 
  +1.17000000E+00; +0.00000000E+00; -0.00000000E+00; +4.82970368E-02; +4.82970368E-02; +1.57079633E+00; -0.00000000E+00; -1.16451041E-02; +1.16451041E-02; -1.57079633E+00; 
  +1.18000000E+00; +0.00000000E+00; -0.00000000E+00; +4.94016312E-02; +4.94016312E-02; +1.57079633E+00; -0.00000000E+00; -1.15522920E-02; +1.15522920E-02; -1.57079633E+00; 
  +1.19000000E+00; +0.00000000E+00; -0.00000000E+00; +5.05136691E-02; +5.05136691E-02; +1.57079633E+00; -0.00000000E+00; -1.14589262E-02; +1.14589262E-02; -1.57079633E+00; 
  +1.20000000E+00; +0.00000000E+00; -0.00000000E+00; +5.16331927E-02; +5.16331927E-02; +1.57079633E+00; -0.00000000E+00; -1.13650024E-02; +1.13650024E-02; -1.57079633E+00; 
  +1.21000000E+00; +0.00000000E+00; -0.00000000E+00; +5.27602352E-02; +5.27602352E-02; +1.57079633E+00; -0.00000000E+00; -1.12705171E-02; +1.12705171E-02; -1.57079633E+00; 
  +1.22000000E+00; +0.00000000E+00; -0.00000000E+00; +5.38948220E-02; +5.38948220E-02; +1.57079633E+00; -0.00000000E+00; -1.11754679E-02; +1.11754679E-02; -1.57079633E+00; 
  +1.23000000E+00; +0.00000000E+00; -0.00000000E+00; +5.50369717E-02; +5.50369717E-02; +1.57079633E+00; -0.00000000E+00; -1.10798532E-02; +1.10798532E-02; -1.57079633E+00; 
  +1.24000000E+00; +0.00000000E+00; -0.00000000E+00; +5.61866976E-02; +5.61866976E-02; +1.57079633E+00; -0.00000000E+00; -1.09836719E-02; +1.09836719E-02; -1.57079633E+00; 
  +1.25000000E+00; +0.00000000E+00; -0.00000000E+00; +5.73440079E-02; +5.73440079E-02; +1.57079633E+00; -0.00000000E+00; -1.08869232E-02; +1.08869232E-02; -1.57079633E+00; 
  +1.26000000E+00; +0.00000000E+00; -0.00000000E+00; +5.85089068E-02; +5.85089068E-02; +1.57079633E+00; -0.00000000E+00; -1.07896073E-02; +1.07896073E-02; -1.57079633E+00; 
  +1.27000000E+00; +0.00000000E+00; -0.00000000E+00; +5.96813950E-02; +5.96813950E-02; +1.57079633E+00; -0.00000000E+00; -1.06917244E-02; +1.06917244E-02; -1.57079633E+00; 
  +1.28000000E+00; +0.00000000E+00; -0.00000000E+00; +6.08614698E-02; +6.08614698E-02; +1.57079633E+00; -0.00000000E+00; -1.05932751E-02; +1.05932751E-02; -1.57079633E+00; 
