s1,s2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+1.12000000E-01,+0.00000000E+00,+1.22855830E-01,-9.92424529E-01,+1.00000000E+00,-1.44762932E+00,+1.32183972E-01,-9.91225200E-01,+1.00000000E+00,-1.43822436E+00
+1.13000000E-01,+0.00000000E+00,+1.22229822E-01,-9.92501824E-01,+1.00000000E+00,-1.44826009E+00,+1.31727957E-01,-9.91285905E-01,+1.00000000E+00,-1.43868440E+00
+1.14000000E-01,+0.00000000E+00,+1.21597956E-01,-9.92579436E-01,+1.00000000E+00,-1.44889670E+00,+1.31267686E-01,-9.91346960E-01,+1.00000000E+00,-1.43914870E+00
+1.15000000E-01,+0.00000000E+00,+1.20960225E-01,-9.92657355E-01,+1.00000000E+00,-1.44953917E+00,+1.30803155E-01,-9.91408359E-01,+1.00000000E+00,-1.43961728E+00
+1.16000000E-01,+0.00000000E+00,+1.20316622E-01,-9.92735569E-01,+1.00000000E+00,-1.45018751E+00,+1.30334357E-01,-9.91470098E-01,+1.00000000E+00,-1.44009012E+00
+1.17000000E-01,+0.00000000E+00,+1.19667138E-01,-9.92814069E-01,+1.00000000E+00,-1.45084172E+00,+1.29861288E-01,-9.91532171E-01,+1.00000000E+00,-1.44056725E+00
+1.18000000E-01,+0.00000000E+00,+1.19011766E-01,-9.92892844E-01,+1.00000000E+00,-1.45150181E+00,+1.29383941E-01,-9.91594572E-01,+1.00000000E+00,-1.44104865E+00
+1.19000000E-01,+0.00000000E+00,+1.18350497E-01,-9.92971883E-01,+1.00000000E+00,-1.45216779E+00,+1.28902311E-01,-9.91657297E-01,+1.00000000E+00,-1.44153435E+00
+1.20000000E-01,+0.00000000E+00,+1.17683325E-01,-9.93051174E-01,+1.00000000E+00,-1.45283966E+00,+1.28416392E-01,-9.91720339E-01,+1.00000000E+00,-1.44202434E+00
+1.21000000E-01,+0.00000000E+00,+1.17010240E-01,-9.93130708E-01,+1.00000000E+00,-1.45351742E+00,+1.27926179E-01,-9.91783693E-01,+1.00000000E+00,-1.44251863E+00
+1.22000000E-01,+0.00000000E+00,+1.16331236E-01,-9.93210473E-01,+1.00000000E+00,-1.45420110E+00,+1.27431665E-01,-9.91847353E-01,+1.00000000E+00,-1.44301723E+00
+1.23000000E-01,+0.00000000E+00,+1.15646303E-01,-9.93290457E-01,+1.00000000E+00,-1.45489068E+00,+1.26932845E-01,-9.91911313E-01,+1.00000000E+00,-1.44352013E+00
+1.24000000E-01,+0.00000000E+00,+1.14955434E-01,-9.93370650E-01,+1.00000000E+00,-1.45558619E+00,+1.26429714E-01,-9.91975568E-01,+1.00000000E+00,-1.44402735E+00
+1.25000000E-01,+0.00000000E+00,+1.14258621E-01,-9.93451039E-01,+1.00000000E+00,-1.45628763E+00,+1.25922264E-01,-9.92040112E-01,+1.00000000E+00,-1.44453889E+00
+1.26000000E-01,+0.00000000E+00,+1.13555855E-01,-9.93531614E-01,+1.00000000E+00,-1.45699500E+00,+1.25410490E-01,-9.92104939E-01,+1.00000000E+00,-1.44505475E+00
+1.27000000E-01,+0.00000000E+00,+1.12847129E-01,-9.93612362E-01,+1.00000000E+00,-1.45770831E+00,+1.24894386E-01,-9.92170042E-01,+1.00000000E+00,-1.44557494E+00
+1.28000000E-01,+0.00000000E+00,+1.12132433E-01,-9.93693271E-01,+1.00000000E+00,-1.45842757E+00,+1.24373946E-01,-9.92235416E-01,+1.00000000E+00,-1.44609947E+00
+1.29000000E-01,+0.00000000E+00,+1.11411759E-01,-9.93774331E-01,+1.00000000E+00,-1.45915279E+00,+1.23849164E-01,-9.92301055E-01,+1.00000000E+00,-1.44662835E+00
+1.30000000E-01,+0.00000000E+00,+1.10685099E-01,-9.93855527E-01,+1.00000000E+00,-1.45988397E+00,+1.23320033E-01,-9.92366953E-01,+1.00000000E+00,-1.44716156E+00
+1.31000000E-01,+0.00000000E+00,+1.09952444E-01,-9.93936849E-01,+1.00000000E+00,-1.46062112E+00,+1.22786547E-01,-9.92433103E-01,+1.00000000E+00,-1.44769914E+00
+1.32000000E-01,+0.00000000E+00,+1.09213786E-01,-9.94018284E-01,+1.00000000E+00,-1.46136426E+00,+1.22248700E-01,-9.92499499E-01,+1.00000000E+00,-1.44824106E+00
